Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves,year
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#,
11,Steve Blake,33,28,607,0.375,22.8,,0.342,0.033,0.008,0.05,0.25,0.658,,0.439,0.25,1.0,0.667,0.4,0.342,,0.333,0.889,,0.0,0,,0.278,0.5,,2,0,2014
12,Kent Bazemore,24,44,268,0.371,17.4,,0.598,0.227,0.113,0.021,0.237,0.402,,0.448,0.636,0.364,0.0,0.348,0.256,,0.231,0.4,,0.031,2,,0.179,0.143,,3,0,2014
13,Toney Douglas,27,24,265,0.372,21.6,,0.314,0.093,0.047,0.058,0.116,0.686,,0.481,0.75,0.0,0.6,0.4,0.322,,0.769,0.842,,0.0,0,,0.254,0.4,,2,0,2014
14,Nemanja Nedović,22,24,142,0.205,17.7,,0.538,0.154,0.077,0.103,0.205,0.462,,0.238,0.333,0.0,0.25,0.25,0.167,,0.4,0.333,,0.0,0,,0.167,0.333,,0,0,2014
15,Hilton Armstrong,29,15,97,0.474,7.0,,1.0,0.474,0.158,0.263,0.105,0.0,,0.474,0.778,0.0,0.2,0.5,,,0.444,,,0.158,3,,,,,0,0,2014
16,Ognjen Kuzmić,23,21,92,0.385,6.8,,1.0,0.308,0.308,0.385,0.0,0.0,,0.385,1.0,0.25,0.0,,,,1.0,,,0.231,3,,,,,0,0,2014
17,MarShon Brooks,25,7,15,0.385,9.6,,0.846,0.308,0.308,0.154,0.077,0.154,,0.455,0.75,0.5,0.0,0.0,0.0,,0.4,,,0.077,1,,0.0,,,0,0,2014
18,Dewayne Dedmon,24,4,6,0.0,8.0,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,0,,,,,0,0,2014
1,Stephen Curry,26,80,2613,0.487,17.1,,0.518,0.186,0.098,0.072,0.163,0.482,,0.528,0.687,0.458,0.515,0.394,0.443,,0.332,0.584,,0.003,4,,0.122,0.557,,8,0,2015
2,Draymond Green,24,79,2490,0.443,13.6,,0.57,0.335,0.115,0.051,0.069,0.43,,0.523,0.68,0.205,0.462,0.34,0.337,,0.737,1.0,,0.051,36,,0.085,0.286,,0,0,2015
